Configuration,Runtime(in secs),Time Interval(secs)
MPI_Allgather(across_1024000):,0.087932,95491
MPI_Allgather(across_1024000):,0.088191,95697
MPI_Allgather(across_1024000):,0.088690,95905
MPI_Allgather(across_1024000):,0.081145,96098
MPI_Allgather(across_1024000):,0.078696,96287
MPI_Allgather(across_1024000):,0.087102,96493
MPI_Allgather(across_1024000):,0.084009,96691
MPI_Allgather(across_1024000):,0.078590,96879
MPI_Allgather(across_1024000):,0.080403,97071
MPI_Allgather(across_1024000):,0.096636,97296
MPI_Allgather(across_1024000):,0.090328,97508
MPI_Allgather(across_1024000):,0.090117,97719
MPI_Allgather(across_1024000):,0.090848,97931
MPI_Allgather(across_1024000):,0.090609,98143
MPI_Allgather(across_1024000):,0.079885,98333
MPI_Allgather(across_1024000):,0.078573,98521
MPI_Allgather(across_1024000):,0.079443,98710
MPI_Allgather(across_1024000):,0.079301,98899
MPI_Allgather(across_1024000):,0.084969,99100
MPI_Allgather(across_1024000):,0.098966,99329
MPI_Allgather(across_1024000):,0.087280,99535
MPI_Allgather(across_1024000):,0.086230,99741
MPI_Allgather(across_1024000):,0.089119,99951
MPI_Allgather(across_1024000):,0.093176,100178
MPI_Allgather(across_1024000):,0.089214,100390
MPI_Allgather(across_1024000):,0.092649,100607
MPI_Allgather(across_1024000):,0.081236,100806
MPI_Allgather(across_1024000):,0.081560,101007
MPI_Allgather(across_1024000):,0.089838,101219
MPI_Allgather(across_1024000):,0.081650,101414
MPI_Allgather(across_1024000):,0.080061,101607
MPI_Allgather(across_1024000):,0.080791,101803
MPI_Allgather(across_1024000):,0.083683,102002
MPI_Allgather(across_1024000):,0.084142,102200
MPI_Allgather(across_1024000):,0.086658,102405
MPI_Allgather(across_1024000):,0.081609,102600
MPI_Allgather(across_1024000):,0.082780,102798
MPI_Allgather(across_1024000):,0.092988,103017
MPI_Allgather(across_1024000):,0.097246,103244
MPI_Allgather(across_1024000):,0.086553,103450
MPI_Allgather(across_1024000):,0.101897,103686
MPI_Allgather(across_1024000):,0.104760,103927
MPI_Allgather(across_1024000):,0.103589,104165
MPI_Allgather(across_1024000):,0.096407,104391
MPI_Allgather(across_1024000):,0.088375,104599
MPI_Allgather(across_1024000):,0.088845,104807
MPI_Allgather(across_1024000):,0.080213,104999
MPI_Allgather(across_1024000):,0.080276,105190
MPI_Allgather(across_1024000):,0.081527,105384
MPI_Allgather(across_1024000):,0.086664,105589
MPI_Allgather(across_1024000):,0.090879,105803
MPI_Allgather(across_1024000):,0.089556,106012
MPI_Allgather(across_1024000):,0.085197,106213
MPI_Allgather(across_1024000):,0.105629,106455
MPI_Allgather(across_1024000):,0.108495,106703
MPI_Allgather(across_1024000):,0.080727,106896
MPI_Allgather(across_1024000):,0.081166,107090
MPI_Allgather(across_1024000):,0.080768,107281
MPI_Allgather(across_1024000):,0.092486,107497
MPI_Allgather(across_1024000):,0.111823,107751
MPI_Allgather(across_1024000):,0.092933,107970
MPI_Allgather(across_1024000):,0.100348,108202
MPI_Allgather(across_1024000):,0.084237,108403
MPI_Allgather(across_1024000):,0.097608,108629
MPI_Allgather(across_1024000):,0.084807,108829
MPI_Allgather(across_1024000):,0.079765,109020
MPI_Allgather(across_1024000):,0.079604,109210
MPI_Allgather(across_1024000):,0.080425,109402
MPI_Allgather(across_1024000):,0.079775,109592
MPI_Allgather(across_1024000):,0.080231,109783
MPI_Allgather(across_1024000):,0.080045,109973
MPI_Allgather(across_1024000):,0.085178,110175
MPI_Allgather(across_1024000):,0.095386,110397
MPI_Allgather(across_1024000):,0.083618,110594
MPI_Allgather(across_1024000):,0.079598,110784
MPI_Allgather(across_1024000):,0.079924,110975
MPI_Allgather(across_1024000):,0.079270,111165
MPI_Allgather(across_1024000):,0.078955,111354
MPI_Allgather(across_1024000):,0.079452,111544
MPI_Allgather(across_1024000):,0.079392,111733
MPI_Allgather(across_1024000):,0.078447,111921
MPI_Allgather(across_1024000):,0.079848,112111
MPI_Allgather(across_1024000):,0.098058,112339
MPI_Allgather(across_1024000):,0.086490,112544
MPI_Allgather(across_1024000):,0.085446,112745
MPI_Allgather(across_1024000):,0.079414,112935
MPI_Allgather(across_1024000):,0.078686,113125
MPI_Allgather(across_1024000):,0.079422,113316
MPI_Allgather(across_1024000):,0.079051,113505
MPI_Allgather(across_1024000):,0.079164,113694
MPI_Allgather(across_1024000):,0.082870,113892
MPI_Allgather(across_1024000):,0.088327,114100
MPI_Allgather(across_1024000):,0.079480,114292
MPI_Allgather(across_1024000):,0.084926,114496
MPI_Allgather(across_1024000):,0.083753,114694
MPI_Allgather(across_1024000):,0.081644,114889
MPI_Allgather(across_1024000):,0.079573,115079
MPI_Allgather(across_1024000):,0.080510,115273
MPI_Allgather(across_1024000):,0.091766,115487
MPI_Allgather(across_1024000):,0.079667,115678
MPI_Allgather(across_1024000):,0.079420,115867
MPI_Allgather(across_1024000):,0.088607,116075
MPI_Allgather(across_1024000):,0.079833,116265
MPI_Allgather(across_1024000):,0.079801,116456
MPI_Allgather(across_1024000):,0.091432,116670
MPI_Allgather(across_1024000):,0.082043,116865
MPI_Allgather(across_1024000):,0.080951,117058
MPI_Allgather(across_1024000):,0.089750,117269
MPI_Allgather(across_1024000):,0.089745,117479
MPI_Allgather(across_1024000):,0.079455,117669
MPI_Allgather(across_1024000):,0.088547,117877
MPI_Allgather(across_1024000):,0.079932,118067
MPI_Allgather(across_1024000):,0.083158,118264
MPI_Allgather(across_1024000):,0.086406,118467
MPI_Allgather(across_1024000):,0.086939,118672
MPI_Allgather(across_1024000):,0.079488,118862
MPI_Allgather(across_1024000):,0.089404,119071
MPI_Allgather(across_1024000):,0.079740,119261
MPI_Allgather(across_1024000):,0.078672,119450
MPI_Allgather(across_1024000):,0.079952,119641
MPI_Allgather(across_1024000):,0.083877,119839
MPI_Allgather(across_1024000):,0.079149,120028
MPI_Allgather(across_1024000):,0.079810,120218
MPI_Allgather(across_1024000):,0.091245,120431
MPI_Allgather(across_1024000):,0.089689,120641
MPI_Allgather(across_1024000):,0.098004,120868
MPI_Allgather(across_1024000):,0.100533,121099
MPI_Allgather(across_1024000):,0.088157,121306
MPI_Allgather(across_1024000):,0.078811,121495
MPI_Allgather(across_1024000):,0.086591,121698
MPI_Allgather(across_1024000):,0.079408,121887
MPI_Allgather(across_1024000):,0.088535,122095
MPI_Allgather(across_1024000):,0.099257,122325
MPI_Allgather(across_1024000):,0.096946,122550
MPI_Allgather(across_1024000):,0.084087,122749
MPI_Allgather(across_1024000):,0.092586,122964
MPI_Allgather(across_1024000):,0.081969,123159
MPI_Allgather(across_1024000):,0.079642,123349
MPI_Allgather(across_1024000):,0.095731,123571
MPI_Allgather(across_1024000):,0.080044,123761
MPI_Allgather(across_1024000):,0.079130,123951
MPI_Allgather(across_1024000):,0.080145,124142
MPI_Allgather(across_1024000):,0.080136,124334
MPI_Allgather(across_1024000):,0.080190,124525
MPI_Allgather(across_1024000):,0.079184,124714
MPI_Allgather(across_1024000):,0.080695,124907
MPI_Allgather(across_1024000):,0.079459,125096
MPI_Allgather(across_1024000):,0.092920,125313
MPI_Allgather(across_1024000):,0.085736,125515
MPI_Allgather(across_1024000):,0.094416,125734
MPI_Allgather(across_1024000):,0.083113,125931
MPI_Allgather(across_1024000):,0.080501,126123
MPI_Allgather(across_1024000):,0.079124,126323
MPI_Allgather(across_1024000):,0.079568,126513
MPI_Allgather(across_1024000):,0.079643,126702
MPI_Allgather(across_1024000):,0.079538,126892
MPI_Allgather(across_1024000):,0.079183,127080
MPI_Allgather(across_1024000):,0.088827,127289
MPI_Allgather(across_1024000):,0.082812,127484
MPI_Allgather(across_1024000):,0.079489,127673
MPI_Allgather(across_1024000):,0.079810,127863
MPI_Allgather(across_1024000):,0.084589,128063
MPI_Allgather(across_1024000):,0.079919,128254
MPI_Allgather(across_1024000):,0.079282,128442
MPI_Allgather(across_1024000):,0.079572,128632
MPI_Allgather(across_1024000):,0.079023,128821
MPI_Allgather(across_1024000):,0.090086,129032
MPI_Allgather(across_1024000):,0.080254,129225
MPI_Allgather(across_1024000):,0.079976,129415
MPI_Allgather(across_1024000):,0.078915,129604
MPI_Allgather(across_1024000):,0.082187,129800
MPI_Allgather(across_1024000):,0.086885,130004
MPI_Allgather(across_1024000):,0.083691,130202
MPI_Allgather(across_1024000):,0.085209,130404
MPI_Allgather(across_1024000):,0.079546,130593
MPI_Allgather(across_1024000):,0.079257,130783
MPI_Allgather(across_1024000):,0.089419,130992
MPI_Allgather(across_1024000):,0.079790,131183
MPI_Allgather(across_1024000):,0.080580,131374
MPI_Allgather(across_1024000):,0.080167,131565
MPI_Allgather(across_1024000):,0.079629,131755
MPI_Allgather(across_1024000):,0.085729,131958
MPI_Allgather(across_1024000):,0.085348,132161
MPI_Allgather(across_1024000):,0.080055,132351
MPI_Allgather(across_1024000):,0.079394,132540
MPI_Allgather(across_1024000):,0.087011,132745
MPI_Allgather(across_1024000):,0.078638,132932
MPI_Allgather(across_1024000):,0.078988,133120
MPI_Allgather(across_1024000):,0.080964,133314
MPI_Allgather(across_1024000):,0.080294,133505
MPI_Allgather(across_1024000):,0.079930,133695
MPI_Allgather(across_1024000):,0.092641,133913
MPI_Allgather(across_1024000):,0.105173,134156
MPI_Allgather(across_1024000):,0.105766,134400
MPI_Allgather(across_1024000):,0.109133,134650
MPI_Allgather(across_1024000):,0.082079,134845
MPI_Allgather(across_1024000):,0.080613,135037
MPI_Allgather(across_1024000):,0.084170,135236
MPI_Allgather(across_1024000):,0.100195,135469
MPI_Allgather(across_1024000):,0.096169,135693
MPI_Allgather(across_1024000):,0.107077,135938
MPI_Allgather(across_1024000):,0.097865,136170
MPI_Allgather(across_1024000):,0.090417,136383
MPI_Allgather(across_1024000):,0.107329,136629
MPI_Allgather(across_1024000):,0.081100,136823
MPI_Allgather(across_1024000):,0.083857,137022
MPI_Allgather(across_1024000):,0.080574,137214
MPI_Allgather(across_1024000):,0.085308,137417
MPI_Allgather(across_1024000):,0.080098,137608
MPI_Allgather(across_1024000):,0.087911,137814
MPI_Allgather(across_1024000):,0.082331,138010
MPI_Allgather(across_1024000):,0.085643,138213
MPI_Allgather(across_1024000):,0.094063,138432
MPI_Allgather(across_1024000):,0.083526,138629
MPI_Allgather(across_1024000):,0.087825,138837
MPI_Allgather(across_1024000):,0.083601,139035
MPI_Allgather(across_1024000):,0.080311,139227
MPI_Allgather(across_1024000):,0.092156,139443
MPI_Allgather(across_1024000):,0.098791,139672
MPI_Allgather(across_1024000):,0.093669,139891
MPI_Allgather(across_1024000):,0.089153,140100
MPI_Allgather(across_1024000):,0.081969,147521
MPI_Allgather(across_1024000):,0.091019,147734
MPI_Allgather(across_1024000):,0.079248,147923
MPI_Allgather(across_1024000):,0.089265,148133
MPI_Allgather(across_1024000):,0.079066,148321
MPI_Allgather(across_1024000):,0.078830,148510
MPI_Allgather(across_1024000):,0.083377,148707
MPI_Allgather(across_1024000):,0.092255,148923
MPI_Allgather(across_1024000):,0.087076,149129
MPI_Allgather(across_1024000):,0.092939,149346
MPI_Allgather(across_1024000):,0.101498,149579
MPI_Allgather(across_1024000):,0.081219,149772
MPI_Allgather(across_1024000):,0.079307,149961
MPI_Allgather(across_1024000):,0.084411,150160
MPI_Allgather(across_1024000):,0.083377,150359
MPI_Allgather(across_1024000):,0.078533,150547
MPI_Allgather(across_1024000):,0.085754,150749
MPI_Allgather(across_1024000):,0.090572,150961
MPI_Allgather(across_1024000):,0.086002,151164
MPI_Allgather(across_1024000):,0.080534,151357
MPI_Allgather(across_1024000):,0.085121,151557
MPI_Allgather(across_1024000):,0.093796,151775
MPI_Allgather(across_1024000):,0.084855,151976
MPI_Allgather(across_1024000):,0.091977,152192
MPI_Allgather(across_1024000):,0.083687,152391
MPI_Allgather(across_1024000):,0.085364,152593
MPI_Allgather(across_1024000):,0.079242,152782
MPI_Allgather(across_1024000):,0.083419,152980
MPI_Allgather(across_1024000):,0.085775,153184
MPI_Allgather(across_1024000):,0.097970,153414
MPI_Allgather(across_1024000):,0.084333,153620
MPI_Allgather(across_1024000):,0.083036,153826
MPI_Allgather(across_1024000):,0.082192,154029
MPI_Allgather(across_1024000):,0.079649,154221
MPI_Allgather(across_1024000):,0.082764,154419
