Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
164889 1514777925.0 3712.0 64.0 1.0 90.0 3427.0 3235.0 3503.0 3423.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.99111111111111 60.92444444444445 57.51111111111111 62.275555555555556 60.85333333333333 7.677801724137931 12.850215517241379 5.630387931034483 7.785560344827586 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.677801724137925 12.850215517241374 5.63038793103448 7.785560344827587
164890 1514777927.0 3732.0 64.0 1.0 90.0 3445.0 3252.0 3522.0 3441.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.34666666666666 61.24444444444445 57.81333333333333 62.61333333333334 61.17333333333333 7.690246516613076 12.861736334405144 5.627009646302251 7.797427652733119 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.690246516613069 12.861736334405142 5.627009646302241 7.797427652733118
164891 1514777982.0 3709.0 64.0 1.0 30.0 3614.0 3550.0 3639.0 3613.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.93777777777778 64.24888888888889 63.111111111111114 64.69333333333333 64.2311111111111 2.5613372876786196 4.286869776220005 1.8873011593421407 2.5882987328120786 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.561337287678632 4.286869776220007 1.8873011593421554 2.5882987328120954
164892 1514777984.0 3708.0 64.0 1.0 30.0 3613.0 3549.0 3638.0 3612.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.92 64.2311111111111 63.093333333333334 64.67555555555556 64.21333333333334 2.5620280474649406 4.288025889967638 1.8878101402373246 2.588996763754045 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.562028047464953 4.288025889967639 1.887810140237318 2.5889967637540403
164893 1514778001.0 3711.0 64.0 1.0 30.0 3616.0 3552.0 3641.0 3615.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.97333333333333 64.28444444444445 63.14666666666667 64.72888888888889 64.26666666666667 2.5599568849366747 4.284559417946645 1.8862840204796552 2.5869037995149555 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.559956884936666 4.284559417946636 1.8862840204796485 2.5869037995149506
164895 1514779216.0 12357.0 128.0 1.0 50.0 11589.0 11457.0 11784.0 11686.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 439.36 412.05333333333334 407.36 418.9866666666667 415.5022222222222 6.215100752609857 7.283321194464676 4.63704782714251 5.430120579428664 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.215100752609858 7.283321194464675 4.637047827142511 5.430120579428671
164896 1514779217.0 11655.0 128.0 1.0 30.0 11221.0 11146.0 11331.0 11275.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 414.4 398.9688888888889 396.3022222222222 402.88 400.8888888888889 3.7237237237237237 4.367224367224368 2.77992277992278 3.2604032604032605 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 3.723723723723716 4.367224367224364 2.7799227799227757 3.260403260403249
164897 1514781715.0 7279.0 8.0 1.0 90.0 7279.0 7279.0 7279.0 7279.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 16.175555555555555 16.175555555555555 16.175555555555555 16.175555555555555 16.175555555555555 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164898 1514783937.0 19008.0 128.0 1.0 30.0 18300.0 18178.0 18479.0 18389.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 675.84 650.6666666666666 646.3288888888889 657.0311111111112 653.8311111111111 3.724747474747475 4.366582491582491 2.7830387205387206 3.256523569023569 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 3.7247474747474847 4.366582491582501 2.783038720538718 3.256523569023573
164900 1514787526.0 12750.0 128.0 1.0 90.0 11325.0 11079.0 11685.0 11503.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 453.3333333333333 402.6666666666667 393.92 415.46666666666664 408.99555555555554 11.176470588235293 13.105882352941176 8.352941176470589 9.780392156862746 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 11.176470588235285 13.10588235294117 8.35294117647059 9.780392156862744
